Name,abstract
Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia,
Sodium-Ion Battery Materials and Electrochemical Properties Reviewed,"<jats:title>Abstract</jats:title><jats:p>The demand for electrochemical energy storage technologies is rapidly increasing due to the proliferation of renewable energy sources and the emerging markets of grid‐scale battery applications. The properties of batteries are ideal for most electrical energy storage (EES) needs, yet, faced with resource constraints, the ability of current lithium‐ion batteries (LIBs) to match this overwhelming demand is uncertain. Sodium‐ion batteries (SIBs) are a novel class of batteries with similar performance characteristics to LIBs. Since they are composed of earth‐abundant elements, cheaper and utility scale battery modules can be assembled. As a result of the learning curve in the LIB technology, a phenomenal progression in material development has been realized in the SIB technology. In this review, innovative strategies used in SIB material development, and the electrochemical properties of anode, cathode, and electrolyte combinations are elucidated. Attractive performance characteristics are herein evidenced, based on comparative gravimetric and volumetric energy densities to state‐of‐the‐art LIBs. In addition, opportunities and challenges toward commercialization are herein discussed based on patent data trend analysis. With extensive industrial adaptations expected, the commercial prospects of SIBs look promising and this once discarded technology is set to play a major role in EES applications.</jats:p>"
Recent Progress in Rechargeable Sodium-Ion Batteries: toward High-Power Applications,"<jats:title>Abstract</jats:title><jats:p>The increasing demands for renewable energy to substitute traditional fossil fuels and related large‐scale energy storage systems (EES) drive developments in battery technology and applications today. The lithium‐ion battery (LIB), the trendsetter of rechargeable batteries, has dominated the market for portable electronics and electric vehicles and is seeking a participant opportunity in the grid‐scale battery market. However, there has been a growing concern regarding the cost and resource availability of lithium. The sodium‐ion battery (SIB) is regarded as an ideal battery choice for grid‐scale EES owing to its similar electrochemistry to the LIB and the crust abundance of Na resources. Because of the participation in frequency regulation, high pulse‐power capability is essential for the implanted SIBs in EES. Herein, a comprehensive overview of the recent advances in the exploration of high‐power cathode and anode materials for SIB is presented, and deep understanding of the inherent host structure, sodium storage mechanism, Na<jats:sup>+</jats:sup> diffusion kinetics, together with promising strategies to promote the rate performance is provided. This work may shed light on the classification and screening of alternative high rate electrode materials and provide guidance for the design and application of high power SIBs in the future.</jats:p>"
Rechargeable Zinc Alkaline Anodes for Long-Cycle Energy Storage,
Stochastic coordinated operation of wind and battery energy storage system considering battery degradation,
Polyanion-type electrode materials for advanced sodium-ion batteries,"
                  Electrical energy storage (EES) exploiting secondary battery technologies is ideal for large-scale energy storage needs due to the rapid growth in proliferation of renewable energy sources and the emerging markets of grid-scale battery applications. Sodium-ion batteries (SIBs), a more sustainable EES option alternative to lithium-ion batteries (LIBs), have attracted intensive interests over the past decade, because of the natural abundance, evenly geographical-distributed Na-source, significantly low cost, and environmental benignity. Polyanionic compounds offer an appealing combination of rich structural diversity, superior ionic conductivity, high structural and thermal stability, and convenient storage/handling, making them competitive and attractive candidate electrode materials for next generation energy storage systems. In this review, recent advancements made regarding polyanion-type electrodes used for SIBs are summarized, elaborating their intrinsic structural characteristics, electrochemical properties, and corresponding sodium-storage mechanisms. Furthermore, we highlight the recent achievements in the lab-scale Na-ion full-cell prototypes that consist of polyanion-type compounds as one or both working electrodes. Last but not least, challenges and outlooks on further optimization of the structure and the electrochemical performance of polyanion-type electrode materials for SIBs are also presented to provide some insights to facilitate the practical realization of sodium-ion technologies.
               "
Assessing new transmission and energy storage in achieving increasing renewable generation targets in a regional grid,"
                  This study evaluates generation, transmission, and storage capacity needs to achieve deep renewable energy penetration in a regional electricity grid with an average load of approximately 20 GW. Increasing renewable energy targets are analyzed to evaluate the effects of realistic regional transmission upgrade and energy storage cost assumptions on the cost-optimal mix of generation, transmission, and storage capacity. Contextual data is used for New York State’s grid to examine how electricity generation from renewable energy resources (wind, water, and solar power) can meet between 50% and 80% of electricity demand. A central finding of the study is that when realistic transmission upgrade costs are assumed, new interzonal transmission and battery storage are not needed to cost effectively meet near-term renewable energy goals. In fact, New York can achieve 50% renewable energy penetration with only a buildout of new generation capacity: Onshore wind (13.7 GW), offshore wind (4.1 GW), and solar photovoltaics (3 GW). The presence of grid-scale battery storage, electric vehicles, or additional behind-the-meter solar capacity does not markedly change the model-selected generation mix. To achieve the 50% target, we compute a $52/MWh levelized cost of electricity for new renewable energy, which is in line with current generation costs.
                  As the renewable generation target increases beyond 50%, the model begins to select transmission upgrades and new storage capacity, the latter particularly if battery costs continue to decline as anticipated. At deeper targets, marginal generation capacity would otherwise experience high curtailment primarily due to supply–demand imbalances; we calculate the value of energy storage at a 65% renewable energy penetration level to be 2.5–3 times higher than its value at a 50% level. However, the additional storage and generation – and transmission, to a lesser degree – needed to achieve longer-term renewable energy goals lead to a substantial rise in total investment. Between 50% and 55% targets, the computed marginal levelized cost of electricity for new variable renewable energy is $94/MWh, compared to $592/MWh between 75% and 80%, suggesting alternative integration measures are likely necessary at such high penetration rates.
               "
Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications,"<jats:p>Applications of fiber optic sensors to battery monitoring have been increasing due to the growing need of enhanced battery management systems with accurate state estimations. The goal of this review is to discuss the advancements enabling the practical implementation of battery internal parameter measurements including local temperature, strain, pressure, and refractive index for general operation, as well as the external measurements such as temperature gradients and vent gas sensing for thermal runaway imminent detection. A reasonable matching is discussed between fiber optic sensors of different range capabilities with battery systems of three levels of scales, namely electric vehicle and heavy-duty electric truck battery packs, and grid-scale battery systems. The advantages of fiber optic sensors over electrical sensors are discussed, while electrochemical stability issues of fiber-implanted batteries are critically assessed. This review also includes the estimated sensing system costs for typical fiber optic sensors and identifies the high interrogation cost as one of the limitations in their practical deployment into batteries. Finally, future perspectives are considered in the implementation of fiber optics into high-value battery applications such as grid-scale energy storage fault detection and prediction systems.</jats:p>"
Challenges and Mitigation Measures in Power Systems with High Share of Renewables-The Australian Experience,"<jats:p>Australia is one of the leading countries in energy transition, and its largest power system is intended to securely operate with up to 75% of variable renewable generation by 2025. High-inertia synchronous condensers, battery energy storage systems, and grid-forming converters are some of the technologies supporting this transformation while facilitating the secure operation of the grid. Synchronous condensers have enabled 2500 MW of solar and wind generation in the state of South Australia, reaching minimum operational demands of ≈100 MW. Grid-scale battery energy storage systems have demonstrated not only market benefits by cutting costs to consumers but also essential grid services during contingencies. Fast frequency response, synthetic inertia, and high fault currents are some of the grid-supporting capabilities provided by new developments that strengthen the grid while facilitating the integration of new renewable energy hubs. This manuscript provides a comprehensive overview, based on the Australian experience, of how power systems are overcoming expected challenges while continuing to integrate secure, low cost, and clean energy.</jats:p>"
State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System,
Investigating the role of nuclear power and battery storage in Hungary's energy transition using hourly resolution electricity market simulations,"Electricity supply in European countries faces a number of challenges, such as achieving carbon neutrality, tackling rising prices, reducing dependence on fossil fuels, including fossil fuel imports. To achieve these goals, the electricity systems of all European countries will have to undergo major changes, while taking into account technical, environmental, economic and social objectives. Our simulations provide essential data for this transition by analyzing different power plant portfolios and electricity consumption scenarios. The analyses focus on the cooperation of nuclear power and weather-dependent renewables, and on the possible role that battery-based electricity storage can play in the Hungarian electricity system. In this paper, we present the experience gained in setting up an electricity market model and the results of running the model on the electricity systems of Hungary and its six neighboring countries (Slovakia, Romania, Serbia, Croatia, Slovenia and Austria), taking into account the constraints of the cross-border capacities. The results of the sensitivity analysis for the 2030 power plant portfolios, battery capacities and renewables analyzed in this paper cover Hungary's import/export position, the energy source structure of its electricity generation, battery operation, CO2 emissions from electricity generation, expected prices in the system and the utilization parameters of nuclear power plants."
Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid: Scenario assessments for India,"
                  Nuclear reactors and variable renewables will play a significant role in the global energy transition as providers of low carbon electricity to various end use sectors. Real time balancing of power demand and supply without modulation or curtailment is possible using electrolytic hydrogen plants and energy storage systems. The generation mix adopted and load profiles are unique to a country and this study considers the specific case of India. This work analyses the use of grid connected water electrolysers, grid scale battery storage, hydrogen storage and fuel cells as flexible loads and dispatch schemes for grid balancing. Based on postulated long term power generation scenarios for India, the minimum required system sizes for grid balancing are estimated and techno-economic uncertainties are assessed. The use of water electrolysers is prioritized to make use of excess power, while minimizing battery storage requirement. This scheme can potentially produce a substantial share of low carbon hydrogen in India for use in industrial decarbonization, thus reducing the need for additional generation infrastructure.
               "
"Impacts of grid-scale battery systems on power system operation, case of Baltic region","<jats:title>Abstract</jats:title><jats:p>Grid stability can be affected by the large‐scale utilisation of renewable energy sources because there are fluctuations in generation and load. These issues can be effectively addressed by grid‐scale battery energy storage systems (BESS), which can respond quickly and provide high energy density. Different roles of grid‐scale BESS in power systems are addressed, following optimal operation approaches classification. Furthermore, integrating BESSs into distribution grids is discussed to manage challenges from distributed generation. BESSs aid in voltage control, enhance frequency regulation, and offer black‐start services. Aggregating distributed BESSs can provide ancillary services and improve grid economics. For consumers, BESSs optimise energy costs, enhance reliability, and support self‐consumption from renewables. Novel BESS services include congestion relief, system adequacy, and power quality enhancement. Moreover, the ancillary services provided in different European countries through BESS are analysed. Finally, a case study was conducted among three Baltic DSOs to analyse the required amendments to Grid Codes and Electricity Market Acts for the integration of grid scale BESS.</jats:p>"
Performance Evaluation Of Grid-scale Battery Energy Storage System Employing Virtual Synchronous Generator Control For Grid Code Compliance In Weak Grids,
Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm,"The growth of battery energy storage systems (BESS) is caused by the variability and intermittent nature of high demand and renewable power generation at the network scale. In the context of BESS, Lithium-ion (Li-ion) battery occupies a crucial position, although it is faced with challenges related to performance battery degradation over time due to electrochemical processes. This battery degradation is a crucial factor to account for, based on its potential to diminish the efficiency and safety of electrical system equipment, thereby contributing to increased system planning costs. This implies that the health of battery needs to be diagnosed, particularly by determining remaining useful life (RUL), to avoid unexpected operational costs and ensure system safety. Therefore, this study aimed to use machine learning models, specifically extreme gradient boosting (XGBoost) algorithm, to estimate RUL, with a focus on the temperature variable, an aspect that had been previously underemphasized. Utilizing XGBoost model, along with fine-tuning its hyperparameters, proved to be a more accurate and efficient method for predicting RUL. The evaluation of the model yielded promising outcomes, with a root mean square error (RMSE) of 90.1 and a mean absolute percentage error (MAPE) of 7.5 %. Additionally, the results showed that the model could improve RUL predictions for batteries within BESS. This study significantly contributed to optimizing planning and operations for BESS, as well as developing more efficient and effective maintenance strategies."
Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties,"
                  Grid scale battery integration plays an important role in renewable energy integration and the formation of smart grid. To mitigate the problems of insufficient frequency response and peak regulation capacities faced by modern power grids with high wind energy uptake, a day-ahead optimization dispatch strategy considering operational risks is proposed in this study. In the day-ahead dispatch model, generation units and a large-scale battery energy storage station (LS-BESS) are coordinated to participate in multi-type frequency control ancillary services (FCASs). For optimal performance, scheduling in different timescales and the complementarity between power and energy types of requirements are coordinated, with various service uncertainties considered. Then the conditional value-at-risk theory is utilized to achieve the optimal mix of multiple resources for day-ahead regulation reserves, to realize the minimum operation cost. To tackle the uncertainty of wind power over a large timescale, a robust optimization (RO) approach based on the budget uncertainty set is employed, which considers robustness and economy. This can help avoid over-conservation of the standard RO and enhance the applicability of the decisions made. Simulation studies and comparison analysis of multiple schemes verify the effectiveness of the proposed optimal day-ahead dispatch strategy, which also demonstrate that a LS-BESS participating in multiple FCASs for day-ahead dispatch can help realize secure, reliable, and economic power grid.
               "
Detection of False Data Injection Attacks in Battery Stacks Using Input Noise-Aware Nonlinear State Estimation and Cumulative Sum Algorithms,
Introduction to grid-scale battery energy storage system concepts and fire hazards,"<jats:title>Abstract</jats:title><jats:p>As the world continues to enact progressive climate change targets, renewable energy solutions are needed to achieve these goals. One such solution is large‐scale lithium‐ion battery (LIB) energy storage systems which are at the forefront in ensuring that solar‐ and wind‐generated power is delivered when the grids need it most. However, the perceived hazards of LIBs due to recent events in the United States and Australia pose a risk to their future success. When a battery energy storage system (BESS) has a multilayered approach to safety, the thermal runaway, fire, and explosion hazards can be mitigated. Successful implementation of this approach requires cooperation, collaboration, and education across all stakeholder groups to break down these preconceived notions. Much can be learned from the recent BESS fire and explosion events to inform safer design and operation. These events and their contributing factors share many commonalities with historic losses in the hydrocarbon industry. Fire and process safety engineers who have traditionally worked in the hydrocarbon industry can be of immense value to the BESS industry.</jats:p>"
Optimal Grid Flexibility Assessment for Integration of Variable Renewable-Based Electricity Generation,"<jats:p>This study delves into power system flexibility, with a keen focus on the integration of variable renewable electricity generation into power grids. Two scenarios were analyzed. The base scenario revealed an aging grid, insufficient generation capacity, frequent outages, and little renewable energy generation (1.9%), along with a significant (71.23%) loss of load. In contrast, the investment scenario presented solutions including raising VRE capacity to 44%, adding 1000 MW capacity transmission lines, installing 200 MW capacity grid-scale battery storage, and technological enhancements. These interventions effectively eliminated loss of load, reinforcing energy resilience. Investments in CCGPP and grid-scale batteries proved instrumental in mitigating the variability of renewable energy. Improved transmission promised efficient power exchange and regional collaboration. The elimination of annualized energy spills and the removal of ramping constraints marked significant strides in enhancing power system flexibility. This research underscores the pivotal role of grid flexibility in accommodating VRE sources. By implementing the proposed optimal solutions, Afghanistan can lead the way toward a cleaner, more resilient, and more interconnected energy future. These findings offer a replicable framework for addressing similar challenges in integrating renewable energy sources globally and supporting the transition to sustainable and reliable energy.</jats:p>"
Electrode Blocking Due to Redox Reactions in Aluminum Chloride-Sodium Iodide Molten Salts,"<jats:p>Iodide redox reactions in molten NaI/AlCl<jats:sub>3</jats:sub> are shown to generate surface-blocking films, which may limit the useful cycling rates and energy densities of molten sodium batteries below 150 °C. An experimental investigation of electrode interfacial stability at 110 °C reveals the source of the reaction rate limitations. Electrochemical experiments in a 3-electrode configuration confirm an increase of resistance on the electrode surface after oxidation or reduction current is passed. Using chronopotentiometry, chronoamperometry, cyclic voltammetry, and electrochemical impedance spectroscopy, the film formation is shown to depend on the electrode material (W, Mo, Ta, or glassy carbon), as well as the Lewis acidity and molar ratio of I<jats:sup>−</jats:sup>/I<jats:sub>3</jats:sub>
                  <jats:sup>−</jats:sup> in the molten salt electrolytes. These factors impact the amount of charge that can be passed at a given current density prior to developing excessive overpotential due to film formation that blocks the electrode surface. The results presented here guide the design and use of iodide-based molten salt electrolytes and electrode materials for grid scale battery applications.</jats:p>"
A review of solar hybrid photovoltaic-thermal (PV-T) collectors and systems,"In this paper, we provide a comprehensive overview of the state-of-the-art in hybrid PV-T collectors and the wider systems within which they can be implemented, and assess the worldwide energy and carbon mitigation potential of these systems. We cover both experimental and computational studies, identify opportunities for performance enhancement, pathways for collector innovation, and implications of their wider deployment at the solar-generation system level. First, we classify and review the main types of PV-T collectors, including air-based, liquid-based, dual air–water, heat-pipe, building integrated and concentrated PV-T collectors. This is followed by a presentation of performance enhancement opportunities and pathways for collector innovation. Here, we address state-of-the-art design modifications, next-generation PV cell technologies, selective coatings, spectral splitting and nanofluids. Beyond this, we address wider PV-T systems and their applications, comprising a thorough review of solar combined heat and power (S–CHP), solar cooling, solar combined cooling, heat and power (S–CCHP), solar desalination, solar drying and solar for hydrogen production systems. This includes a specific review of potential performance and cost improvements and opportunities at the solar-generation system level in thermal energy storage, control and demand-side management. Subsequently, a set of the most promising PV-T systems is assessed to analyse their carbon mitigation potential and how this technology might fit within pathways for global decarbonization. It is estimated that the REmap baseline emission curve can be reduced by more than 16% in 2030 if the uptake of solar PV-T technologies can be promoted. Finally, the review turns to a critical examination of key challenges for the adoption of PV-T technology and recommendations."
"A review on global warming potential, challenges and opportunities of renewable hydrogen production technologies","
                  This review compares global warming potential of renewable hydrogen production technologies including wind- and solar PV-powered water electrolysis, biomass gasification and biogas reforming based on 64 hydrogen production cases compiled from the literature. Unlike many previous studies, this review discusses the cases from various countries, while selecting the production technologies that have potential of commercialisation. Among the four reviewed technologies, wind electrolysis performed the best in global warming impacts (1.29 kg CO2 eq/kg H2), whereas biogas reforming technology performed the worst (3.61 kg CO2 eq/kg H2). Key factors that contributed to most of the impacts were found to be materials used for construction of wind- and solar- electricity generation system for both wind- and solar PV-powered electrolysis, and energy consumption during gasification processes for biomass gasification, while methane leakage during biogas production had the highest contribution to the impacts of biogas reforming cases. On average, the renewable hydrogen cases demonstrated 68–92% lower global warming potential when compared to conventional coal gasification and natural gas steam methane reforming systems. Increasing demand for renewable hydrogen and possibility of hydrogen being integrated into existing natural gas networks highlight the important role of renewable hydrogen production in the future.
               "
